ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
289,654,503190,6212,503190
289,654,503510,6212,503510
289,654,503980,6212,503980
290,656,504980,6212,504980
290,656,505980,6212,505980
291,658,506980,6212,506980
291,658,507980,6212,507980
292,660,508980,6212,508980
292,660,509980,6212,509980
293,662,510980,6212,510980
293,662,511790,6212,511790
293,662,512250,6212,512250
294,664,513250,6212,513250
294,664,513900,6212,513900
295,666,514710,6212,514710
295,666,515710,6212,515710
295,666,515870,6212,515870
296,668,516870,6212,516870
296,668,517870,6212,517870
297,670,518870,6212,518870
297,670,519870,6212,519870
298,672,520870,6212,520870
298,672,521870,6212,521870
299,674,522870,6212,522870
299,674,523870,6212,523870
299,674,523870,6212,523870
300,676,524680,6212,524680
300,676,525680,6212,525680
301,678,526680,6212,526680
301,678,527150,6212,527150
302,680,528150,6212,528150
302,680,529150,6212,529150
303,682,529960,6212,529960
303,682,530960,6212,530960
304,684,531960,6212,531960
304,684,532770,6212,532770
305,686,533770,6212,533770
305,686,534770,6212,534770
306,688,535770,6212,535770
306,688,536770,6212,536770
307,690,537770,6212,537770
307,690,538770,6212,538770
308,692,539420,6212,539420
308,692,539880,6212,539880
308,692,540350,6212,540350
309,694,541350,6212,541350
309,694,542350,6212,542350
310,696,543350,6212,543350
310,696,543820,6212,543820
310,696,544630,6212,544630
311,698,545630,6212,545630
311,698,546630,6212,546630
312,702,547100,6212,547100
312,702,547260,6212,547260
312,702,547720,6212,547720
312,702,548040,6212,548040
312,702,548510,6212,548510
312,702,549160,6212,549160
312,702,549970,6212,549970
313,704,550970,6212,550970
313,704,551970,6212,551970
314,706,552970,6212,552970
314,706,553290,6212,553290
314,706,553940,6212,553940
315,708,554940,6212,554940
315,708,555940,6212,555940
316,710,556940,6212,556940
316,710,557940,6212,557940
316,710,558410,6212,558410
317,712,559410,6212,559410
317,712,560060,6212,560060
317,712,560380,6212,560380
318,714,561030,6212,561030
318,714,561030,6212,561030
318,714,561350,6212,561350
318,714,562350,6212,562350
319,716,563350,6212,563350
319,716,564350,6212,564350
320,718,565350,6212,565350
320,718,566350,6212,566350
321,720,567350,6212,567350
321,720,568350,6212,568350
321,720,568670,6212,568670
322,722,569670,6212,569670
322,722,569670,6212,569670
322,722,570220,6212,570220
323,724,571220,6212,571220
323,724,572220,6212,572220
324,728,572690,6212,572690
324,728,573690,6212,573690
324,728,574690,6212,574690
324,728,575690,6212,575690
324,728,576010,6212,576010
325,736,576230,6212,576230
326,738,577040,6212,577040
326,738,578040,6212,578040
327,740,579040,6212,579040
327,740,580040,6212,580040
328,742,581040,6212,581040
328,742,582040,6212,582040
329,744,583040,6212,583040
329,744,584040,6212,584040
329,744,584040,6212,584040
330,746,585040,6212,585040
330,746,585850,6212,585850
331,748,586850,6212,586850
331,748,586850,6212,586850
331,748,587440,6212,587440
331,748,587600,6212,587600
332,750,588150,6212,588150
332,750,588620,6212,588620
332,750,589620,6212,589620
333,752,590430,6212,590430
333,752,591430,6212,591430
334,754,592430,6212,592430
334,754,593430,6212,593430
335,756,594430,6212,594430
335,756,594900,6212,594900
336,758,595900,6212,595900
336,758,596360,6212,596360
336,758,597360,6212,597360
336,758,597590,6212,597590
337,760,598590,6212,598590
337,760,599590,6212,599590
338,762,600590,6212,600590
338,762,601590,6212,601590
339,764,602400,6212,602400
339,764,603400,6212,603400
