ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
518,2649,497110,6212,497110
518,2649,497430,6212,497430
518,2649,497590,6212,497590
519,2657,497820,6212,497820
519,2657,498820,6212,498820
520,2659,499630,6212,499630
520,2659,499630,6212,499630
521,2667,499860,6212,499860
521,2667,500860,6212,500860
521,2667,501860,6212,501860
521,2667,502860,6212,502860
522,2675,503860,6212,503860
523,2683,504860,6212,504860
524,2687,504860,6212,504860
524,2687,504860,6212,504860
524,2687,505860,6212,505860
525,2689,506510,6212,506510
525,2689,506980,6212,506980
525,2689,507790,6212,507790
525,2689,508790,6212,508790
526,2697,509790,6212,509790
527,2705,510600,6212,510600
528,2709,511410,6212,511410
528,2709,512410,6212,512410
528,2709,512410,6212,512410
528,2709,513220,6212,513220
528,2709,514220,6212,514220
528,2709,514690,6212,514690
529,2713,515690,6212,515690
530,2715,515920,6212,515920
530,2715,516390,6212,516390
530,2715,517390,6212,517390
531,2723,518390,6212,518390
532,2731,518710,6212,518710
533,2739,519710,6212,519710
533,2739,520710,6212,520710
533,2739,521520,6212,521520
534,2747,521990,6212,521990
535,2749,522990,6212,522990
535,2749,523800,6212,523800
536,2751,524800,6212,524800
536,2751,525800,6212,525800
537,2759,526800,6212,526800
537,2759,526800,6212,526800
538,2767,527610,6212,527610
539,2769,528080,6212,528080
539,2769,528550,6212,528550
540,2771,529550,6212,529550
541,2773,530360,6212,530360
541,2773,531170,6212,531170
542,2781,532170,6212,532170
542,2781,533170,6212,533170
542,2781,533980,6212,533980
543,2789,534300,6212,534300
543,2789,534300,6212,534300
544,2797,535110,6212,535110
545,2805,536110,6212,536110
546,2807,536760,6212,536760
547,2815,537760,6212,537760
547,2815,537760,6212,537760
548,2817,537760,6212,537760
549,2819,538760,6212,538760
550,2821,539570,6212,539570
550,2821,540570,6212,540570
551,2829,541040,6212,541040
551,2829,542040,6212,542040
552,2837,543040,6212,543040
553,2845,543630,6212,543630
554,2853,544630,6212,544630
555,2861,545100,6212,545100
555,2861,546100,6212,546100
556,2863,547100,6212,547100
557,2871,547750,6212,547750
557,2871,548750,6212,548750
558,2879,549560,6212,549560
559,2881,550370,6212,550370
560,2883,551370,6212,551370
560,2883,552370,6212,552370
561,2885,553370,6212,553370
561,2885,554370,6212,554370
562,2893,554370,6212,554370
563,2895,555370,6212,555370
564,2903,556370,6212,556370
564,2903,557180,6212,557180
565,2911,557830,6212,557830
565,2911,558640,6212,558640
566,2913,559450,6212,559450
567,2921,560450,6212,560450
567,2921,561450,6212,561450
568,2923,562450,6212,562450
568,2923,563260,6212,563260
569,2925,563260,6212,563260
570,2927,564260,6212,564260
571,2929,565260,6212,565260
571,2929,565260,6212,565260
572,2931,566260,6212,566260
573,2939,566260,6212,566260
574,2941,566730,6212,566730
575,2949,567730,6212,567730
575,2949,567730,6212,567730
576,2951,567730,6212,567730
577,2953,567730,6212,567730
578,2961,568730,6212,568730
578,2961,569730,6212,569730
578,2961,570380,6212,570380
578,2961,570380,6212,570380
578,2961,571190,6212,571190
578,2961,572000,6212,572000
578,2961,573000,6212,573000
579,2969,574000,6212,574000
580,2971,574320,6212,574320
581,2973,575320,6212,575320
582,2977,575320,6212,575320
582,2977,575550,6212,575550
582,2977,576550,6212,576550
582,2977,577550,6212,577550
582,2977,578550,6212,578550
583,2985,579020,6212,579020
583,2985,580020,6212,580020
584,2993,581020,6212,581020
585,3001,581250,6212,581250
586,3009,582250,6212,582250
586,3009,582900,6212,582900
586,3009,583900,6212,583900
587,3017,583900,6212,583900
588,3025,584710,6212,584710
588,3025,585710,6212,585710
588,3025,586710,6212,586710
589,3033,587710,6212,587710
590,3041,588710,6212,588710
591,3049,589520,6212,589520
591,3049,590520,6212,590520
592,3057,598520,6212,598520
592,3057,599520,6212,599520
593,3065,600520,6212,600520
593,3065,601520,6212,601520
593,3065,601520,6212,601520
593,3065,602520,6212,602520
594,3073,603520,6212,603520
595,3081,604520,6212,604520
595,3081,605520,6212,605520
596,3089,606330,6212,606330
597,3097,607330,6212,607330
597,3097,608330,6212,608330
598,3105,608330,6212,608330
599,3107,609330,6212,609330
599,3107,610330,6212,610330
600,3109,611140,6212,611140
601,3111,611600,6212,611600
602,3113,612600,6212,612600
603,3121,613600,6212,613600
603,3121,613600,6212,613600
603,3121,614070,6212,614070
604,3125,614880,6212,614880
605,3133,615690,6212,615690
605,3133,615690,6212,615690
605,3133,616160,6212,616160
606,3135,616970,6212,616970
606,3135,616970,6212,616970
606,3135,617620,6212,617620
606,3135,618430,6212,618430
606,3135,618660,6212,618660
607,3143,618660,6212,618660
608,3151,618890,6212,618890
609,3159,619890,6212,619890
609,3159,619890,6212,619890
610,3167,620890,6212,620890
611,3169,620890,6212,620890
612,3177,621360,6212,621360
612,3177,622360,6212,622360
613,3178,623360,6212,623360
613,3178,623820,6212,623820
614,3180,624820,6212,624820
614,3180,625820,6212,625820
615,3188,626630,6212,626630
616,3190,627630,6212,627630
616,3190,627630,6212,627630
616,3190,627630,6212,627630
616,3190,628280,6212,628280
616,3190,629280,6212,629280
617,3192,629500,6212,629500
618,3200,630310,6212,630310
618,3200,630310,6212,630310
619,3208,631310,6212,631310
620,3216,632310,6212,632310
620,3216,632470,6212,632470
621,3218,632470,6212,632470
621,3218,632470,6212,632470
622,3220,633470,6212,633470
623,3228,633940,6212,633940
623,3228,634940,6212,634940
624,3230,635940,6212,635940
625,3238,636940,6212,636940
625,3238,637410,6212,637410
626,3246,638410,6212,638410
626,3246,639410,6212,639410
626,3246,639960,6212,639960
626,3246,640960,6212,640960
627,3254,641960,6212,641960
627,3254,641960,6212,641960
627,3254,642960,6212,642960
628,3256,643960,6212,643960
628,3256,644430,6212,644430
