ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
229,512,339420,6212,339420
230,514,340230,6212,340230
230,514,341040,6212,341040
231,516,341850,6212,341850
231,516,342660,6212,342660
232,518,343470,6212,343470
232,518,343790,6212,343790
232,518,344250,6212,344250
232,518,344720,6212,344720
232,518,345040,6212,345040
232,518,345850,6212,345850
233,520,346320,6212,346320
233,520,347130,6212,347130
233,520,347450,6212,347450
233,520,347920,6212,347920
234,522,348730,6212,348730
234,522,349200,6212,349200
235,524,349850,6212,349850
235,524,350320,6212,350320
236,526,351130,6212,351130
236,526,351600,6212,351600
236,526,352250,6212,352250
237,528,353060,6212,353060
237,528,353380,6212,353380
237,528,354030,6212,354030
238,536,354030,6212,354030
239,538,354840,6212,354840
239,538,355160,6212,355160
239,538,355480,6212,355480
239,538,355800,6212,355800
239,538,356170,6212,356170
239,538,356170,6212,356170
240,540,356980,6212,356980
240,540,357790,6212,357790
240,540,357950,6212,357950
241,542,358170,6212,358170
241,542,358980,6212,358980
241,542,359450,6212,359450
242,544,359910,6212,359910
242,544,360280,6212,360280
242,544,360930,6212,360930
243,546,361740,6212,361740
243,546,361740,6212,361740
243,546,362390,6212,362390
243,546,362620,6212,362620
244,548,362990,6212,362990
244,548,363360,6212,363360
244,548,363520,6212,363520
244,548,363840,6212,363840
244,548,364310,6212,364310
244,548,364780,6212,364780
244,548,365100,6212,365100
244,548,365100,6212,365100
245,550,365570,6212,365570
245,550,366040,6212,366040
245,550,366510,6212,366510
246,552,367320,6212,367320
246,552,367790,6212,367790
246,552,368600,6212,368600
247,554,369250,6212,369250
247,554,369480,6212,369480
247,554,370290,6212,370290
248,556,370750,6212,370750
248,556,371220,6212,371220
248,556,371540,6212,371540
248,556,371590,6212,371590
249,558,372060,6212,372060
249,558,372650,6212,372650
249,558,373120,6212,373120
250,560,373590,6212,373590
250,560,374060,6212,374060
250,560,374520,6212,374520
251,562,375330,6212,375330
251,562,375790,6212,375790
251,562,376600,6212,376600
251,562,376830,6212,376830
252,564,377300,6212,377300
252,564,377950,6212,377950
252,564,378270,6212,378270
252,564,378740,6212,378740
253,566,379550,6212,379550
253,566,379870,6212,379870
253,566,380330,6212,380330
254,568,380800,6212,380800
254,568,381270,6212,381270
254,568,381590,6212,381590
254,568,382060,6212,382060
254,568,382530,6212,382530
255,570,382850,6212,382850
255,570,383400,6212,383400
255,570,384210,6212,384210
256,572,385020,6212,385020
256,572,385830,6212,385830
257,574,386640,6212,386640
257,574,387450,6212,387450
258,576,387920,6212,387920
258,576,388730,6212,388730
258,576,388730,6212,388730
259,578,389540,6212,389540
259,578,389540,6212,389540
259,578,390010,6212,390010
259,578,390330,6212,390330
260,580,391140,6212,391140
260,580,391610,6212,391610
260,580,392420,6212,392420
261,582,393230,6212,393230
261,582,393550,6212,393550
262,584,394360,6212,394360
262,584,395170,6212,395170
263,586,395980,6212,395980
263,586,395980,6212,395980
263,586,396210,6212,396210
263,586,396800,6212,396800
264,588,397270,6212,397270
264,588,398080,6212,398080
264,588,398240,6212,398240
265,590,399050,6212,399050
265,590,399370,6212,399370
265,590,400180,6212,400180
266,592,400730,6212,400730
267,594,401380,6212,401380
268,602,401380,6212,401380
268,602,401970,6212,401970
268,602,401970,6212,401970
268,602,402290,6212,402290
268,602,402450,6212,402450
268,602,402680,6212,402680
268,602,403330,6212,403330
269,604,404140,6212,404140
269,604,404950,6212,404950
269,604,405270,6212,405270
270,606,405920,6212,405920
270,606,406240,6212,406240
270,606,406560,6212,406560
270,606,406560,6212,406560
270,606,406560,6212,406560
271,608,407030,6212,407030
271,608,407350,6212,407350
271,608,407820,6212,407820
271,608,408290,6212,408290
271,608,409100,6212,409100
271,608,409570,6212,409570
272,610,410380,6212,410380
272,610,410850,6212,410850
272,610,411320,6212,411320
273,612,412130,6212,412130
273,612,412780,6212,412780
274,614,413590,6212,413590
274,614,414240,6212,414240
275,616,414710,6212,414710
275,616,414930,6212,414930
275,616,415580,6212,415580
275,616,415580,6212,415580
275,616,416050,6212,416050
275,616,416370,6212,416370
276,618,416840,6212,416840
276,618,416840,6212,416840
276,618,417490,6212,417490
277,626,417490,6212,417490
277,626,417810,6212,417810
278,628,418400,6212,418400
278,628,419210,6212,419210
278,628,419670,6212,419670
279,630,420140,6212,420140
279,630,420360,6212,420360
279,630,420820,6212,420820
279,630,421290,6212,421290
280,632,421880,6212,421880
280,632,422530,6212,422530
280,632,423000,6212,423000
280,632,423320,6212,423320
281,634,424130,6212,424130
281,634,424130,6212,424130
281,634,424130,6212,424130
281,634,424130,6212,424130
281,634,424780,6212,424780
282,636,425250,6212,425250
282,636,425250,6212,425250
282,636,425710,6212,425710
282,636,425870,6212,425870
282,636,425870,6212,425870
282,636,426340,6212,426340
283,638,426990,6212,426990
283,638,427800,6212,427800
284,640,428610,6212,428610
284,640,429420,6212,429420
284,640,429890,6212,429890
285,642,430360,6212,430360
285,642,431170,6212,431170
285,642,431640,6212,431640
286,644,432450,6212,432450
286,644,432770,6212,432770
286,644,432770,6212,432770
286,644,433090,6212,433090
286,644,433090,6212,433090
286,644,433090,6212,433090
