ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
844227.22,14.01,0.44,231247.53,3.84
844131.26,14.0,0.44,231139.89,3.83
844131.26,14.0,0.44,231106.97,3.83
844182.79,14.01,0.44,230886.87,3.83
843956.81,14.01,0.44,230885.19,3.83
843956.81,14.01,0.44,230925.84,3.83
844008.34,14.01,0.44,230925.84,3.83
844168.65,14.01,0.45,231024.44,3.83
844008.73,14.01,0.44,230426.76,3.82
843772.2,14.01,0.44,230610.24,3.83
843823.73,14.01,0.44,230588.16,3.83
843823.73,14.01,0.44,230583.99,3.83
843875.26,14.01,0.45,230592.74,3.83
843926.79,14.01,0.45,230669.4,3.83
843978.32,14.02,0.45,230876.19,3.83
844029.85,14.02,0.45,231364.96,3.84
843793.33,14.02,0.45,231128.18,3.84
843567.35,14.01,0.45,231535.95,3.85
843618.88,14.02,0.45,231534.96,3.85
843670.41,14.02,0.45,231534.52,3.85
843830.73,14.02,0.46,231534.52,3.85
843882.26,14.03,0.46,231591.52,3.85
843882.26,14.03,0.46,231565.3,3.85
843646.28,14.02,0.46,231553.26,3.85
843646.28,14.02,0.46,231583.06,3.85
843697.81,14.03,0.46,231643.36,3.85
843749.34,14.03,0.46,231795.43,3.85
843909.66,14.03,0.47,231538.09,3.85
843961.19,14.04,0.47,232269.52,3.86
843725.21,14.03,0.47,232785.5,3.87
843923.49,14.04,0.47,232859.81,3.87
844083.8,14.04,0.47,233010.4,3.88
844314.66,14.05,0.48,233008.96,3.88
844158.06,14.04,0.48,233078.92,3.88
844312.33,14.05,0.48,233078.92,3.88
844363.86,14.05,0.48,233078.92,3.88
844518.12,14.05,0.49,233078.92,3.88
844292.14,14.05,0.49,232823.93,3.88
844452.46,14.06,0.49,233174.0,3.88
844452.46,14.06,0.49,233235.53,3.88
844452.46,14.06,0.49,233234.6,3.88
844606.72,14.06,0.49,233348.28,3.88
844370.74,14.06,0.49,233111.75,3.88
844084.22,14.05,0.49,234207.21,3.9
844315.08,14.06,0.49,233856.97,3.89
844145.15,14.06,0.49,232981.4,3.88
844196.68,14.06,0.49,234574.67,3.91
844196.68,14.06,0.49,234548.45,3.91
844357.0,14.06,0.5,234519.69,3.91
844357.0,14.06,0.5,234546.96,3.91
844408.53,14.07,0.5,234721.93,3.91
844182.55,14.06,0.5,234655.53,3.91
844182.55,14.06,0.5,234632.53,3.91
844342.87,14.07,0.5,234603.76,3.91
844394.4,14.07,0.5,234778.73,3.91
844445.93,14.07,0.51,234897.2,3.91
844186.0,14.07,0.5,234259.71,3.9
844237.53,14.07,0.5,234318.75,3.91
844289.06,14.07,0.51,234317.76,3.91
844443.32,14.08,0.51,234317.66,3.91
844183.4,14.07,0.51,234350.61,3.91
843947.42,14.07,0.51,234275.55,3.91
843796.59,14.07,0.5,234062.12,3.9
843950.86,14.07,0.51,234061.79,3.9
844111.18,14.08,0.51,234061.79,3.9
844162.71,14.08,0.51,234061.79,3.9
844316.97,14.08,0.52,234866.66,3.92
844080.99,14.08,0.52,234796.73,3.92
844080.99,14.08,0.52,234762.69,3.92
844132.52,14.08,0.52,235030.91,3.92
844292.84,14.09,0.52,235044.44,3.92
844344.37,14.09,0.52,235162.92,3.92
844084.44,14.09,0.52,235801.53,3.94
843884.36,14.08,0.52,235533.62,3.93
843935.89,14.09,0.52,235592.66,3.93
843987.42,14.09,0.52,235591.67,3.93
844038.95,14.09,0.53,235591.23,3.93
844090.48,14.1,0.53,235591.23,3.93
844090.48,14.1,0.53,235617.16,3.93
843860.22,14.09,0.53,235320.57,3.93
843860.22,14.09,0.53,235357.43,3.93
844014.49,14.1,0.53,235357.43,3.93
844066.02,14.1,0.53,235357.43,3.93
844220.28,14.1,0.54,235357.43,3.93
844380.6,14.11,0.54,236558.96,3.95
844120.67,14.1,0.54,236050.43,3.94
843884.69,14.1,0.54,235943.38,3.94
843936.22,14.1,0.54,236372.07,3.95
843987.75,14.11,0.54,236134.7,3.95
843987.75,14.11,0.54,236104.55,3.95
844148.07,14.11,0.54,236379.74,3.95
844302.34,14.11,0.55,236466.99,3.95
844500.61,14.12,0.55,235747.73,3.94
844240.69,14.12,0.55,235795.6,3.94
844292.22,14.12,0.55,235903.29,3.94
844343.75,14.12,0.56,236021.77,3.95
844395.28,14.12,0.56,236080.81,3.95
844446.81,14.13,0.56,236079.82,3.95
844645.08,14.13,0.57,236079.38,3.95
844696.61,14.13,0.57,236079.38,3.95
844894.89,14.14,0.57,236160.39,3.95
844894.89,14.14,0.57,236160.46,3.95
844946.42,14.14,0.58,236270.14,3.95
844997.95,14.14,0.58,236508.22,3.96
845049.48,14.15,0.58,236946.39,3.97
845101.01,14.15,0.58,237489.91,3.98
844841.09,14.15,0.58,237328.87,3.97
844995.35,14.15,0.58,237330.86,3.97
845046.88,14.15,0.59,237327.77,3.97
845046.88,14.15,0.59,237301.35,3.97
844729.8,14.15,0.58,236990.53,3.97
844781.33,14.15,0.59,236990.2,3.97
844911.04,14.16,0.59,238183.51,3.99
845071.35,14.16,0.59,238183.51,3.99
844835.45,14.16,0.59,237699.34,3.98
844886.98,14.16,0.59,237699.34,3.98
844661.0,14.16,0.59,237888.25,3.99
844821.32,14.16,0.59,238100.85,3.99
844872.85,14.16,0.6,238402.27,4.0
844628.91,14.16,0.59,238105.1,3.99
844680.44,14.16,0.6,238645.03,4.0
844731.97,14.17,0.6,238643.6,4.0
844783.5,14.17,0.6,238643.6,4.0
844547.52,14.17,0.6,238444.57,4.0
844599.05,14.17,0.6,238444.57,4.0
844764.95,14.17,0.61,238474.23,4.0
844533.38,14.17,0.6,238461.03,4.0
844584.91,14.17,0.61,238472.72,4.0
844636.44,14.18,0.61,238495.8,4.0
844636.44,14.18,0.61,238502.75,4.0
844687.97,14.18,0.61,238525.37,4.0
844477.89,14.18,0.61,238353.2,4.0
844632.15,14.18,0.61,239359.96,4.02
844474.96,14.18,0.61,239211.78,4.02
844474.96,14.18,0.61,239244.72,4.02
844635.28,14.18,0.61,239244.08,4.02
844399.3,14.18,0.61,239243.29,4.02
844630.16,14.18,0.62,239243.29,4.02
844460.23,14.18,0.61,239391.31,4.02
844511.76,14.18,0.62,239436.37,4.02
844267.82,14.18,0.61,239624.33,4.02
844498.67,14.19,0.62,239579.27,4.02
844341.48,14.18,0.62,239460.84,4.02
844501.8,14.19,0.62,239460.84,4.02
