ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
101,441,367790,6212,367790
102,449,368600,6212,368600
102,449,369250,6212,369250
102,449,369480,6212,369480
102,449,370290,6212,370290
102,449,370750,6212,370750
102,449,371220,6212,371220
102,449,371540,6212,371540
102,449,371590,6212,371590
102,449,372060,6212,372060
102,449,372650,6212,372650
102,449,373120,6212,373120
102,449,373590,6212,373590
102,449,374060,6212,374060
103,451,374520,6212,374520
103,451,375330,6212,375330
103,451,375790,6212,375790
103,451,376600,6212,376600
104,459,376830,6212,376830
104,459,377300,6212,377300
104,459,377950,6212,377950
104,459,378270,6212,378270
104,459,378740,6212,378740
104,459,379550,6212,379550
104,459,379870,6212,379870
104,459,380330,6212,380330
104,459,380800,6212,380800
104,459,381270,6212,381270
104,459,381590,6212,381590
105,467,382060,6212,382060
105,467,382530,6212,382530
105,467,382850,6212,382850
105,467,383400,6212,383400
105,467,384210,6212,384210
105,467,385020,6212,385020
105,467,385830,6212,385830
105,467,386640,6212,386640
105,467,387450,6212,387450
105,467,387920,6212,387920
105,467,388730,6212,388730
105,467,388730,6212,388730
106,475,389540,6212,389540
106,475,389540,6212,389540
106,475,390010,6212,390010
106,475,390330,6212,390330
106,475,391140,6212,391140
106,475,391610,6212,391610
106,475,392420,6212,392420
106,475,393230,6212,393230
106,475,393550,6212,393550
106,475,394360,6212,394360
106,475,395170,6212,395170
107,477,395980,6212,395980
107,477,395980,6212,395980
107,477,396210,6212,396210
107,477,396800,6212,396800
