ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1180920.3,20.03,1.41,217745.72,3.69
1180915.68,20.03,1.42,217723.78,3.69
1180748.65,20.03,1.42,217714.83,3.69
1181018.73,20.04,1.42,217705.52,3.69
1181039.66,20.04,1.42,217697.75,3.69
1181068.08,20.05,1.43,217708.39,3.7
1181233.01,20.05,1.43,217708.18,3.7
1181217.52,20.05,1.44,217737.24,3.7
1181279.36,20.06,1.44,217820.28,3.7
1181112.33,20.06,1.44,217742.84,3.7
1180942.33,20.06,1.44,217534.71,3.69
1180772.71,20.06,1.44,217543.89,3.7
1180605.68,20.06,1.44,217522.39,3.7
1181215.05,20.07,1.45,217701.77,3.7
1181477.03,20.08,1.46,217797.12,3.7
1181317.49,20.08,1.46,217782.64,3.7
1181579.4,20.08,1.47,217561.82,3.7
1181419.85,20.09,1.47,217568.0,3.7
1181227.26,20.09,1.47,217533.03,3.7
1181586.67,20.09,1.47,217529.89,3.7
1181427.13,20.09,1.47,217533.16,3.7
1181455.55,20.1,1.48,217543.8,3.7
1181476.48,20.1,1.48,217536.47,3.7
1181316.93,20.1,1.48,217512.58,3.7
1181149.9,20.1,1.48,217508.45,3.7
1181395.03,20.11,1.49,217327.78,3.7
1181415.96,20.11,1.49,217425.1,3.7
1181411.33,20.11,1.49,217403.49,3.7
1181218.74,20.11,1.5,217373.87,3.7
1181491.91,20.12,1.5,217379.26,3.7
1181332.37,20.12,1.5,217376.31,3.7
1181365.41,20.12,1.5,217388.34,3.7
1181365.41,20.12,1.5,217368.08,3.7
1181205.87,20.12,1.5,217369.17,3.7
1181205.87,20.12,1.5,217342.79,3.7
1181038.83,20.12,1.5,217333.84,3.7
1181071.88,20.12,1.5,217345.87,3.7
1181067.25,20.13,1.51,217401.66,3.7
1180900.22,20.13,1.51,217399.66,3.71
1181044.56,20.13,1.51,217447.63,3.71
1180877.53,20.13,1.51,217427.43,3.71
1180905.94,20.13,1.51,217438.07,3.71
1180934.36,20.14,1.52,217448.71,3.71
1180967.41,20.14,1.52,217460.74,3.71
1180800.38,20.14,1.52,217383.59,3.71
1181142.32,20.15,1.52,217414.39,3.71
1180982.78,20.15,1.53,217411.27,3.71
1180815.74,20.15,1.53,217520.53,3.71
1180815.74,20.15,1.53,217636.92,3.71
1181167.12,20.15,1.53,217562.24,3.71
1180997.11,20.15,1.53,217590.46,3.71
1180830.08,20.16,1.53,217530.34,3.71
1180830.08,20.16,1.53,217460.83,3.71
1180637.49,20.16,1.53,217433.86,3.71
1180434.83,20.16,1.53,217312.98,3.71
1180455.76,20.16,1.54,217410.3,3.71
1180296.22,20.16,1.54,217406.74,3.71
1180296.22,20.16,1.54,217337.35,3.71
1180136.67,20.16,1.54,217333.52,3.71
1179969.64,20.16,1.54,217331.52,3.71
1179810.09,20.16,1.54,217332.6,3.71
1180083.26,20.17,1.55,217337.99,3.71
1179916.23,20.17,1.55,217342.5,3.72
1179723.64,20.17,1.55,217317.25,3.72
1179744.57,20.17,1.55,217496.6,3.72
1179739.95,20.17,1.55,217474.71,3.72
1179556.78,20.17,1.55,217401.07,3.72
1179556.78,20.17,1.55,217373.74,3.72
1179556.78,20.17,1.55,217395.74,3.72
1179389.75,20.18,1.55,217894.79,3.73
1179791.23,20.18,1.56,217916.54,3.73
1179621.62,20.18,1.56,217915.98,3.73
1179429.03,20.18,1.56,217890.23,3.73
1179457.44,20.19,1.56,217900.87,3.73
1179622.37,20.19,1.57,217900.67,3.73
1179622.37,20.19,1.57,218104.34,3.73
