ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
881802.32,15.09,1.49,181460.49,3.11
881802.32,15.09,1.49,181381.18,3.1
881666.34,15.09,1.49,181380.87,3.1
881249.81,15.08,1.49,180849.27,3.1
881113.84,15.08,1.49,180848.95,3.1
881535.74,15.09,1.49,180857.55,3.1
881399.77,15.09,1.49,180873.18,3.1
881452.47,15.1,1.5,180872.81,3.1
881316.49,15.1,1.5,180872.81,3.1
881180.51,15.1,1.5,180872.5,3.1
881180.51,15.1,1.5,180875.86,3.1
881044.54,15.1,1.5,180904.13,3.1
881808.64,15.11,1.51,181584.42,3.11
882262.2,15.12,1.52,181998.51,3.12
882126.23,15.12,1.52,181998.67,3.12
882178.93,15.12,1.52,181998.36,3.12
881482.8,15.11,1.51,181308.34,3.11
881778.82,15.12,1.52,181418.53,3.11
881778.82,15.12,1.52,181423.76,3.11
881642.84,15.12,1.52,181413.86,3.11
881506.86,15.12,1.52,181413.55,3.11
881106.86,15.11,1.52,180792.58,3.1
881159.56,15.12,1.52,180792.65,3.1
881023.58,15.12,1.52,180797.07,3.1
880887.6,15.12,1.52,180796.69,3.1
880940.31,15.12,1.52,180796.69,3.1
880804.33,15.12,1.52,180796.38,3.1
880668.35,15.12,1.52,180796.07,3.1
880532.37,15.12,1.52,180796.74,3.1
880396.4,15.12,1.52,180134.34,3.09
880260.42,15.12,1.52,180134.03,3.09
880124.44,15.12,1.52,180134.19,3.09
879988.46,15.12,1.52,180133.88,3.1
879988.46,15.12,1.52,180056.88,3.09
879852.49,15.12,1.52,180169.63,3.1
880042.94,15.13,1.53,180169.32,3.1
880427.6,15.13,1.54,180169.01,3.1
880480.3,15.14,1.54,180189.1,3.1
880533.0,15.14,1.54,180300.18,3.1
880917.66,15.15,1.55,180300.18,3.1
880781.69,15.15,1.55,180299.87,3.1
881166.35,15.16,1.56,180299.56,3.1
881219.05,15.16,1.56,180596.27,3.11
881083.07,15.16,1.56,180516.96,3.11
881787.49,15.17,1.57,180703.29,3.11
882125.63,15.18,1.58,180523.15,3.11
882125.63,15.18,1.58,180443.84,3.11
881989.66,15.18,1.58,180443.53,3.11
882840.8,15.2,1.6,180995.06,3.12
882704.83,15.2,1.6,180917.1,3.11
882568.85,15.2,1.6,180916.79,3.12
882432.87,15.2,1.6,180837.48,3.11
882296.89,15.2,1.6,180837.48,3.11
882160.92,15.2,1.6,180837.63,3.12
882024.94,15.2,1.6,180837.63,3.12
881790.36,15.2,1.6,180515.33,3.11
881654.38,15.2,1.6,180487.79,3.11
881518.41,15.2,1.6,180408.47,3.11
