ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
1153255.34,19.59,0.96,218499.32,3.71
1153088.31,19.59,0.96,218497.31,3.71
1153088.31,19.59,0.96,218497.31,3.71
1153088.31,19.59,0.96,218497.31,3.71
1152921.28,19.59,0.96,218417.69,3.71
1152754.24,19.59,0.96,218340.2,3.71
1152385.22,19.59,0.95,218046.5,3.71
1152385.22,19.59,0.95,218046.5,3.71
1152736.59,19.59,0.96,218569.21,3.72
1152736.59,19.59,0.96,218569.21,3.72
1152248.19,19.59,0.95,218072.37,3.71
1152857.56,19.6,0.96,218251.75,3.71
1152464.86,19.59,0.96,217808.55,3.7
1152297.82,19.6,0.96,217731.11,3.7
1152559.81,19.6,0.97,218149.11,3.71
1152392.78,19.6,0.97,218127.61,3.71
1152225.75,19.6,0.97,218067.48,3.71
1152470.88,19.61,0.97,217886.81,3.71
1151758.99,19.6,0.96,217132.46,3.7
1151758.99,19.6,0.96,217132.46,3.7
1151389.97,19.6,0.96,216770.27,3.69
1151222.93,19.6,0.96,216693.13,3.69
1151055.9,19.6,0.96,216688.65,3.69
1150863.31,19.6,0.96,216629.61,3.69
1150670.72,19.6,0.96,216600.0,3.69
1150823.42,19.6,0.97,216243.13,3.68
1150743.96,19.6,0.97,216204.97,3.68
1151005.95,19.61,0.97,216300.32,3.69
1150786.36,19.61,0.97,216082.41,3.68
1150619.33,19.61,0.97,216327.09,3.69
1150452.3,19.61,0.97,216318.15,3.69
1150168.87,19.6,0.97,216046.94,3.68
1150168.87,19.6,0.97,216046.94,3.68
1150001.84,19.6,0.97,215974.26,3.68
1149834.81,19.6,0.97,215952.75,3.68
1149834.81,19.6,0.97,215952.75,3.68
1149834.81,19.6,0.97,215952.75,3.68
1149834.81,19.6,0.97,215952.75,3.68
1149667.77,19.61,0.97,215892.63,3.68
1149500.74,19.61,0.97,215815.49,3.68
1149500.74,19.61,0.97,215815.49,3.68
1149500.74,19.61,0.97,215815.49,3.68
1149141.72,19.6,0.96,215463.84,3.68
1148974.69,19.6,0.96,215459.36,3.68
1148807.66,19.6,0.96,215382.22,3.68
1148640.62,19.6,0.96,215377.74,3.68
1148473.59,19.6,0.96,215368.79,3.68
1148306.56,19.6,0.96,215296.11,3.68
1148139.53,19.6,0.96,215294.1,3.68
1147972.49,19.6,0.96,215214.49,3.68
1147977.68,19.61,0.96,214775.34,3.67
1147810.65,19.61,0.96,214697.85,3.67
1147643.61,19.61,0.96,214693.72,3.67
1147855.09,19.61,0.97,214869.04,3.67
1148011.95,19.62,0.97,214906.65,3.67
1147718.06,19.61,0.97,214927.65,3.67
1147718.06,19.61,0.97,214927.65,3.67
1147551.03,19.62,0.97,214817.42,3.67
1147813.02,19.62,0.98,214912.76,3.67
1147645.99,19.62,0.98,215094.79,3.68
1147645.99,19.62,0.98,215094.79,3.68
1147478.95,19.62,0.98,215085.84,3.68
1147311.92,19.62,0.98,215013.16,3.68
