ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
509,2584,546260,6212,546260
509,2584,546580,6212,546580
510,2592,546580,6212,546580
510,2592,546900,6212,546900
511,2594,547710,6212,547710
512,2596,547710,6212,547710
513,2598,547940,6212,547940
513,2598,548940,6212,548940
513,2598,549410,6212,549410
514,2600,550410,6212,550410
515,2602,551410,6212,551410
515,2602,552060,6212,552060
515,2602,553060,6212,553060
516,2610,561060,6212,561060
517,2618,561060,6212,561060
517,2618,562060,6212,562060
518,2622,562060,6212,562060
519,2630,562870,6212,562870
519,2630,563870,6212,563870
519,2630,564090,6212,564090
520,2638,565090,6212,565090
521,2646,565090,6212,565090
522,2654,566090,6212,566090
523,2662,567090,6212,567090
524,2670,567900,6212,567900
525,2672,568370,6212,568370
526,2676,569020,6212,569020
526,2676,569020,6212,569020
526,2676,570020,6212,570020
526,2676,570490,6212,570490
526,2676,570810,6212,570810
526,2676,570810,6212,570810
527,2684,571810,6212,571810
527,2684,572810,6212,572810
527,2684,573810,6212,573810
527,2684,574810,6212,574810
527,2684,575810,6212,575810
528,2692,576810,6212,576810
529,2694,577810,6212,577810
529,2694,578810,6212,578810
530,2696,579620,6212,579620
530,2696,580620,6212,580620
530,2696,581430,6212,581430
531,2704,581900,6212,581900
532,2706,581900,6212,581900
532,2706,582710,6212,582710
533,2714,583710,6212,583710
534,2722,583760,6212,583760
535,2724,584760,6212,584760
536,2726,585570,6212,585570
537,2728,585890,6212,585890
538,2736,586700,6212,586700
539,2744,587350,6212,587350
539,2744,588350,6212,588350
540,2752,589350,6212,589350
541,2760,590350,6212,590350
541,2760,591350,6212,591350
541,2760,592350,6212,592350
542,2768,592350,6212,592350
542,2768,593350,6212,593350
542,2768,594160,6212,594160
542,2768,594970,6212,594970
542,2768,594970,6212,594970
543,2776,594970,6212,594970
543,2776,595970,6212,595970
544,2778,596780,6212,596780
544,2778,597780,6212,597780
545,2786,598780,6212,598780
546,2788,599250,6212,599250
547,2796,600250,6212,600250
548,2804,601250,6212,601250
548,2804,601250,6212,601250
549,2812,601720,6212,601720
550,2814,602530,6212,602530
551,2822,602760,6212,602760
551,2822,602760,6212,602760
551,2822,603570,6212,603570
552,2826,604380,6212,604380
552,2826,605380,6212,605380
553,2828,606380,6212,606380
554,2829,607380,6212,607380
554,2829,608380,6212,608380
555,2831,608840,6212,608840
555,2831,609840,6212,609840
556,2839,609840,6212,609840
557,2847,617840,6212,617840
557,2847,618300,6212,618300
557,2847,618760,6212,618760
557,2847,619230,6212,619230
557,2847,619460,6212,619460
557,2847,619460,6212,619460
558,2855,619460,6212,619460
559,2863,619830,6212,619830
559,2863,620830,6212,620830
559,2863,621480,6212,621480
560,2867,622480,6212,622480
560,2867,623480,6212,623480
561,2869,624480,6212,624480
562,2871,624950,6212,624950
563,2879,625950,6212,625950
564,2887,626420,6212,626420
564,2887,627420,6212,627420
564,2887,628230,6212,628230
565,2889,628550,6212,628550
566,2897,629550,6212,629550
566,2897,630550,6212,630550
567,2899,630550,6212,630550
568,2907,631200,6212,631200
568,2907,632200,6212,632200
569,2915,632670,6212,632670
569,2915,633670,6212,633670
570,2917,634670,6212,634670
571,2925,635670,6212,635670
572,2933,636670,6212,636670
573,2935,637670,6212,637670
573,2935,638480,6212,638480
573,2935,639480,6212,639480
573,2935,640290,6212,640290
573,2935,641290,6212,641290
574,2937,642100,6212,642100
575,2939,642100,6212,642100
576,2947,643100,6212,643100
577,2955,644100,6212,644100
577,2955,644570,6212,644570
578,2957,645040,6212,645040
579,2965,646040,6212,646040
580,2973,646360,6212,646360
580,2973,647170,6212,647170
580,2973,647170,6212,647170
581,2981,647980,6212,647980
582,2989,648980,6212,648980
582,2989,649980,6212,649980
582,2989,650980,6212,650980
583,2991,650980,6212,650980
584,2999,651570,6212,651570
585,3007,652380,6212,652380
585,3007,652850,6212,652850
585,3007,653320,6212,653320
585,3007,653320,6212,653320
585,3007,653790,6212,653790
585,3007,654790,6212,654790
586,3009,655790,6212,655790
586,3009,656790,6212,656790
587,3017,657600,6212,657600
587,3017,658070,6212,658070
587,3017,658070,6212,658070
588,3025,658620,6212,658620
589,3027,659090,6212,659090
589,3027,660090,6212,660090
589,3027,660410,6212,660410
590,3029,661410,6212,661410
591,3031,662410,6212,662410
592,3033,663410,6212,663410
592,3033,664220,6212,664220
592,3033,665220,6212,665220
593,3041,666220,6212,666220
593,3041,666220,6212,666220
593,3041,666540,6212,666540
594,3049,667540,6212,667540
594,3049,668130,6212,668130
595,3051,669130,6212,669130
595,3051,670130,6212,670130
596,3053,670450,6212,670450
597,3055,671450,6212,671450
597,3055,672450,6212,672450
597,3055,672920,6212,672920
598,3063,673920,6212,673920
598,3063,673920,6212,673920
599,3071,674730,6212,674730
600,3073,675200,6212,675200
600,3073,675200,6212,675200
600,3073,676200,6212,676200
601,3075,676670,6212,676670
602,3083,677130,6212,677130
602,3083,678130,6212,678130
602,3083,679130,6212,679130
602,3083,680130,6212,680130
602,3083,680130,6212,680130
602,3083,681130,6212,681130
602,3083,682130,6212,682130
603,3091,683130,6212,683130
603,3091,683130,6212,683130
603,3091,684130,6212,684130
603,3091,685130,6212,685130
604,3099,693130,6212,693130
605,3101,693130,6212,693130
605,3101,694130,6212,694130
606,3109,694780,6212,694780
607,3111,695780,6212,695780
608,3113,696590,6212,696590
609,3121,697590,6212,697590
610,3123,697910,6212,697910
610,3123,697910,6212,697910
611,3131,698720,6212,698720
612,3133,699720,6212,699720
612,3133,699720,6212,699720
613,3141,700720,6212,700720
614,3149,701530,6212,701530
614,3149,702180,6212,702180
614,3149,702990,6212,702990
615,3153,703990,6212,703990
615,3153,704990,6212,704990
