ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
881011.69,15.0,1.4,179502.7,3.06
881077.01,15.0,1.4,179079.43,3.05
881129.71,15.0,1.4,178546.26,3.04
880993.73,15.0,1.4,178545.94,3.04
881289.75,15.01,1.41,178545.94,3.04
881153.78,15.01,1.41,178545.63,3.04
881153.78,15.01,1.41,178466.32,3.04
881153.78,15.01,1.41,178466.01,3.04
881017.8,15.01,1.41,178466.01,3.04
881017.8,15.01,1.41,178471.24,3.04
881355.94,15.02,1.42,178279.0,3.04
881355.94,15.02,1.42,178199.69,3.04
881408.64,15.02,1.42,178310.77,3.04
881272.66,15.02,1.42,178310.93,3.04
881726.23,15.03,1.43,178655.5,3.05
881590.25,15.03,1.43,178655.5,3.05
881642.96,15.03,1.43,178766.58,3.05
881695.66,15.03,1.44,178877.66,3.05
881695.66,15.03,1.44,178882.89,3.05
881559.68,15.04,1.44,178882.42,3.05
881921.37,15.04,1.44,178882.91,3.05
881785.4,15.04,1.44,178803.6,3.05
881649.42,15.04,1.44,178724.29,3.05
881649.42,15.04,1.44,178724.0,3.05
882034.08,15.05,1.45,178724.99,3.05
881898.1,15.05,1.45,178725.15,3.05
881762.12,15.05,1.45,178655.74,3.05
881762.12,15.05,1.45,178655.45,3.05
881626.15,15.05,1.45,178655.08,3.05
881490.17,15.05,1.45,178656.08,3.05
881542.87,15.05,1.46,178656.14,3.05
881406.89,15.05,1.46,178666.92,3.05
881406.89,15.05,1.46,178672.14,3.05
881270.92,15.05,1.46,178672.14,3.05
881134.94,15.05,1.46,178672.3,3.05
880998.96,15.06,1.46,178662.4,3.05
881855.38,15.07,1.47,179008.73,3.06
881719.4,15.07,1.47,178986.04,3.06
881583.43,15.07,1.47,178985.57,3.06
881636.13,15.07,1.48,178985.2,3.06
881688.83,15.08,1.48,179096.28,3.06
882046.03,15.09,1.49,178902.78,3.06
882046.03,15.09,1.49,178902.47,3.06
882046.03,15.09,1.49,178902.47,3.06
881910.05,15.09,1.49,178902.46,3.06
882363.62,15.09,1.5,178959.21,3.06
882227.64,15.09,1.5,178959.21,3.06
882091.66,15.1,1.5,178959.37,3.06
882144.37,15.1,1.5,179065.07,3.06
882334.82,15.1,1.51,179064.76,3.07
882334.82,15.1,1.51,178985.45,3.06
882198.84,15.1,1.51,178985.14,3.06
882062.86,15.1,1.51,178991.37,3.06
882367.04,15.11,1.51,178991.37,3.07
882419.74,15.11,1.52,178991.43,3.07
882283.76,15.11,1.52,178991.59,3.07
882147.78,15.11,1.52,178991.75,3.07
882011.81,15.11,1.52,178991.44,3.07
881875.83,15.11,1.52,178912.13,3.07
881928.53,15.12,1.52,178912.13,3.07
881928.53,15.12,1.52,179185.11,3.07
881792.55,15.12,1.52,179185.11,3.07
881656.57,15.12,1.52,179184.8,3.07
881520.6,15.12,1.52,179186.91,3.07
881816.62,15.12,1.53,179186.54,3.07
882457.36,15.14,1.54,179250.97,3.07
882321.38,15.14,1.54,179250.97,3.08
882321.38,15.14,1.54,179173.98,3.07
882659.52,15.15,1.55,178993.84,3.07
882724.84,15.15,1.55,178570.58,3.06
883178.41,15.16,1.56,178570.27,3.06
883042.44,15.16,1.56,178570.0,3.07
882906.46,15.16,1.56,178569.99,3.07
882770.48,15.16,1.56,178569.99,3.07
882634.5,15.16,1.56,178570.15,3.07
882930.53,15.17,1.57,178569.84,3.07
882794.55,15.17,1.57,178569.53,3.07
882658.57,15.17,1.57,178742.36,3.07
