ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
268,642,452770,6212,454050
268,642,452930,6212,454210
268,642,453930,6212,455210
269,644,454930,6212,456210
269,644,455740,6212,457020
270,648,459740,6212,461020
270,648,460290,6212,461570
270,648,460730,6212,462010
270,648,460730,6212,462010
270,648,461540,6212,462820
270,648,461860,6212,463140
270,648,462860,6212,464140
271,650,463860,6212,465140
271,650,464330,6212,465610
271,650,465330,6212,466610
272,652,466140,6212,467420
272,652,467140,6212,468420
272,652,467250,6212,468530
273,660,468250,6212,469530
274,662,469250,6212,470530
274,662,470250,6212,471530
275,664,471060,6212,472340
275,664,472060,6212,473340
275,664,472060,6212,473340
276,666,472710,6212,473990
276,666,473710,6212,474990
276,666,473940,6212,475220
277,668,474940,6212,476220
277,668,475940,6212,477220
278,670,476940,6212,478220
278,670,477410,6212,478690
279,672,478410,6212,479690
279,672,479220,6212,480500
280,674,480220,6212,481500
280,674,480690,6212,481970
280,674,481690,6212,482970
280,674,481740,6212,483020
281,676,482740,6212,484020
281,676,483550,6212,484830
282,678,484010,6212,485290
282,678,485010,6212,486290
283,680,485820,6212,487100
283,680,485820,6212,487100
283,680,486820,6212,488100
284,682,487820,6212,489100
284,682,488820,6212,490100
