ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
404797.57,6.98,1.81,175631.18,3.03
404745.85,6.98,1.81,175574.19,3.03
405731.61,7.0,1.83,176016.28,3.04
405731.61,7.0,1.83,176016.28,3.04
406102.33,7.01,1.84,176016.28,3.04
406374.74,7.01,1.84,176016.28,3.04
406818.99,7.02,1.85,176060.18,3.04
407287.61,7.03,1.86,175976.15,3.04
407235.89,7.03,1.86,175976.15,3.04
407386.57,7.04,1.86,175616.79,3.03
407334.84,7.04,1.86,175508.47,3.03
407705.56,7.04,1.87,175508.47,3.03
407653.84,7.04,1.87,175508.47,3.03
407602.11,7.04,1.87,175624.12,3.03
407980.8,7.05,1.88,175641.23,3.04
408359.49,7.06,1.88,175657.8,3.04
408307.76,7.06,1.89,175608.25,3.04
408761.14,7.07,1.89,175608.25,3.04
408709.41,7.07,1.89,175543.26,3.03
409080.13,7.07,1.9,175543.26,3.04
409028.41,7.07,1.9,175543.26,3.04
