ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
881682.43,14.72,1.15,263444.53,4.4
881733.96,14.72,1.16,263224.44,4.4
881785.49,14.73,1.16,263342.92,4.4
884326.09,14.77,1.2,265087.58,4.43
884090.11,14.76,1.2,265011.4,4.43
884090.11,14.76,1.2,265011.4,4.43
884244.38,14.77,1.2,265094.46,4.43
884295.91,14.77,1.21,265212.93,4.43
884450.17,14.78,1.21,265296.0,4.43
884610.49,14.78,1.21,265267.23,4.43
884350.56,14.78,1.21,265105.43,4.43
884114.58,14.77,1.21,264961.67,4.43
884166.11,14.78,1.21,265204.21,4.43
884217.64,14.78,1.21,265322.68,4.43
884217.64,14.78,1.21,265322.68,4.43
884377.96,14.78,1.22,265350.41,4.44
884532.22,14.79,1.22,265442.38,4.44
884730.5,14.79,1.23,265693.8,4.44
884470.57,14.79,1.22,265532.0,4.44
884522.1,14.79,1.23,265185.69,4.43
884573.63,14.79,1.23,264965.6,4.43
884625.16,14.8,1.23,265084.07,4.43
884676.69,14.8,1.23,265143.12,4.44
884874.97,14.8,1.24,264783.81,4.43
884926.5,14.81,1.24,264685.8,4.43
885124.78,14.81,1.25,264326.49,4.42
890522.52,14.9,1.34,269977.96,4.52
