ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
518,2710,401530,6212,401530
518,2710,402530,6212,402530
519,2718,403010,6212,403010
519,2718,404010,6212,404010
520,2726,404820,6212,404820
520,2726,405820,6212,405820
520,2726,406630,6212,406630
520,2726,406630,6212,406630
520,2726,407100,6212,407100
521,2734,407570,6212,407570
522,2738,411570,6212,411570
523,2746,411890,6212,411890
523,2746,412890,6212,412890
524,2754,413360,6212,413360
525,2756,414170,6212,414170
525,2756,414640,6212,414640
526,2758,414640,6212,414640
527,2760,415110,6212,415110
527,2760,416110,6212,416110
528,2768,416920,6212,416920
528,2768,416920,6212,416920
528,2768,417150,6212,417150
529,2770,417150,6212,417150
529,2770,418150,6212,418150
530,2772,418150,6212,418150
530,2772,418620,6212,418620
531,2780,419090,6212,419090
532,2788,419560,6212,419560
533,2796,420560,6212,420560
534,2798,421560,6212,421560
535,2806,422560,6212,422560
536,2810,422560,6212,422560
537,2811,422890,6212,422890
538,2819,423890,6212,423890
539,2821,424540,6212,424540
540,2823,425350,6212,425350
540,2823,426350,6212,426350
541,2825,427160,6212,427160
541,2825,428160,6212,428160
542,2833,428970,6212,428970
542,2833,429200,6212,429200
542,2833,429200,6212,429200
543,2841,429200,6212,429200
544,2849,429670,6212,429670
544,2849,430480,6212,430480
545,2851,430800,6212,430800
546,2859,431270,6212,431270
547,2861,432270,6212,432270
548,2863,433270,6212,433270
548,2863,434080,6212,434080
548,2863,435080,6212,435080
549,2871,435890,6212,435890
550,2879,436480,6212,436480
551,2881,437480,6212,437480
552,2883,437950,6212,437950
553,2891,438270,6212,438270
554,2893,438740,6212,438740
554,2893,439210,6212,439210
554,2893,439800,6212,439800
555,2901,440800,6212,440800
556,2909,440800,6212,440800
556,2909,441800,6212,441800
557,2911,442270,6212,442270
558,2913,442740,6212,442740
559,2915,443210,6212,443210
560,2923,443860,6212,443860
561,2925,444670,6212,444670
562,2933,445320,6212,445320
563,2935,445690,6212,445690
564,2943,446160,6212,446160
564,2943,446630,6212,446630
565,2951,447440,6212,447440
565,2951,447900,6212,447900
566,2959,448710,6212,448710
567,2961,449360,6212,449360
568,2963,450360,6212,450360
568,2963,451170,6212,451170
569,2971,451540,6212,451540
570,2973,452540,6212,452540
571,2975,453540,6212,453540
572,2983,453540,6212,453540
572,2983,454350,6212,454350
572,2983,455350,6212,455350
573,2984,455670,6212,455670
573,2984,456320,6212,456320
574,2986,456790,6212,456790
575,2994,457380,6212,457380
575,2994,457540,6212,457540
576,3002,458350,6212,458350
577,3010,459350,6212,459350
577,3010,460160,6212,460160
577,3010,461160,6212,461160
577,3010,461160,6212,461160
577,3010,461630,6212,461630
578,3018,462100,6212,462100
578,3018,463100,6212,463100
578,3018,463570,6212,463570
579,3020,463800,6212,463800
579,3020,464120,6212,464120
580,3024,464590,6212,464590
581,3026,465400,6212,465400
581,3026,466210,6212,466210
581,3026,466210,6212,466210
581,3026,466210,6212,466210
581,3026,467020,6212,467020
581,3026,467570,6212,467570
581,3026,468030,6212,468030
581,3026,469030,6212,469030
582,3034,469500,6212,469500
583,3036,469500,6212,469500
584,3044,470310,6212,470310
585,3052,470310,6212,470310
585,3052,470780,6212,470780
586,3060,470780,6212,470780
