ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
887679.05,14.73,1.11,191597.87,3.18
887679.05,14.73,1.11,191597.61,3.18
888216.61,14.74,1.12,191746.84,3.18
888437.93,14.75,1.13,191782.78,3.18
888609.74,14.75,1.13,191863.36,3.19
888661.68,14.76,1.14,191863.47,3.19
888713.61,14.76,1.14,192025.73,3.19
888765.54,14.76,1.14,192025.84,3.19
888765.54,14.76,1.14,192025.58,3.19
888928.26,14.77,1.15,192026.02,3.19
889507.65,14.78,1.15,192402.35,3.2
889728.97,14.78,1.16,192402.09,3.2
889592.76,14.78,1.16,192271.67,3.19
889456.56,14.78,1.16,192271.41,3.2
889782.07,14.79,1.17,192149.73,3.19
889834.0,14.79,1.17,192149.85,3.19
890103.44,14.79,1.17,192115.65,3.19
890103.44,14.79,1.17,192115.39,3.19
890103.44,14.79,1.17,192115.13,3.19
890159.24,14.8,1.18,191756.96,3.19
890293.0,14.8,1.18,191471.55,3.18
890035.5,14.8,1.18,191017.45,3.18
890087.43,14.8,1.18,191017.57,3.18
890139.37,14.81,1.19,191140.54,3.18
890003.16,14.81,1.19,191140.54,3.18
890224.48,14.81,1.19,191188.96,3.18
890088.28,14.81,1.19,191058.54,3.18
890088.28,14.81,1.19,191058.28,3.18
890356.41,14.82,1.2,191047.78,3.18
890356.41,14.82,1.2,191050.58,3.18
890678.05,14.82,1.2,191050.32,3.18
891005.64,14.83,1.21,191022.68,3.18
890847.5,14.83,1.21,190840.0,3.18
890711.29,14.83,1.21,190839.74,3.18
890979.42,14.83,1.21,190801.5,3.18
890979.42,14.83,1.21,190800.8,3.18
890979.42,14.83,1.21,190800.8,3.18
890721.93,14.83,1.21,190346.7,3.17
890976.98,14.83,1.21,190412.06,3.17
891198.3,14.84,1.22,190412.06,3.17
891622.97,14.85,1.23,190156.22,3.17
891878.03,14.85,1.23,190221.58,3.17
891929.96,14.86,1.24,190221.58,3.17
891981.89,14.86,1.24,190344.56,3.17
892033.82,14.86,1.24,190344.67,3.17
891897.62,14.86,1.24,190344.41,3.17
891949.55,14.87,1.24,190406.11,3.17
892121.36,14.87,1.25,190405.85,3.17
892341.64,14.88,1.25,190405.59,3.17
892341.64,14.88,1.25,190405.59,3.17
892393.57,14.88,1.26,190405.7,3.17
892621.64,14.88,1.26,190389.73,3.17
892677.44,14.89,1.27,190031.56,3.17
892677.44,14.89,1.27,189901.14,3.17
892729.37,14.89,1.27,189901.14,3.17
892910.99,14.89,1.27,189796.53,3.17
892632.97,14.89,1.27,189796.53,3.17
892561.09,14.89,1.27,189755.97,3.17
892562.78,14.89,1.27,189561.07,3.16
892725.5,14.89,1.27,189431.55,3.16
892953.57,14.9,1.28,189415.58,3.16
893168.14,14.9,1.28,189415.96,3.16
893031.94,14.9,1.28,189285.54,3.16
893031.94,14.9,1.28,189278.73,3.16
893357.45,14.91,1.29,189157.06,3.16
893357.45,14.91,1.29,189161.45,3.16
893578.77,14.91,1.29,189193.22,3.16
893630.7,14.92,1.3,189316.19,3.16
893682.64,14.92,1.3,189316.19,3.16
893903.96,14.92,1.3,189315.93,3.16
893903.96,14.92,1.3,189320.32,3.16
894132.02,14.93,1.31,189304.35,3.16
894421.43,14.94,1.32,189376.46,3.16
894689.56,14.94,1.32,189376.08,3.16
894910.88,14.95,1.33,189375.82,3.16
895082.69,14.95,1.33,189375.56,3.16
894961.19,14.95,1.33,189263.18,3.16
894824.99,14.95,1.33,189172.04,3.16
894996.8,14.96,1.34,189165.24,3.16
895218.12,14.96,1.34,189165.24,3.16
895446.19,14.97,1.34,189304.85,3.16
895618.0,14.97,1.35,189280.97,3.16
895839.32,14.97,1.35,189312.74,3.16
895891.25,14.98,1.36,189312.86,3.16
895755.04,14.98,1.36,189312.86,3.17
895926.86,14.98,1.36,189393.43,3.17
896148.18,14.99,1.37,189393.17,3.17
896148.18,14.99,1.37,189393.17,3.17
896011.97,14.99,1.37,189347.47,3.17
896280.1,14.99,1.37,189347.21,3.17
896494.67,15.0,1.38,189506.84,3.17
896546.61,15.0,1.38,189512.25,3.17
896289.11,15.0,1.38,189058.15,3.16
896510.43,15.0,1.38,189089.92,3.16
896510.43,15.0,1.38,189089.92,3.16
896510.43,15.0,1.38,189089.66,3.16
896562.36,15.01,1.39,189212.63,3.17
896783.68,15.01,1.39,189346.87,3.17
896783.68,15.01,1.39,189346.49,3.17
896950.27,15.01,1.39,189006.3,3.16
897002.2,15.02,1.4,189129.28,3.17
897174.02,15.02,1.4,189209.85,3.17
896728.38,15.02,1.4,188788.07,3.16
896592.18,15.02,1.4,188768.74,3.16
896813.5,15.02,1.4,188800.51,3.16
897034.82,15.03,1.41,188800.51,3.16
897034.82,15.03,1.41,188800.51,3.16
897086.75,15.03,1.41,188800.63,3.16
897138.68,15.03,1.41,188923.6,3.17
897138.68,15.03,1.41,188923.6,3.17
897002.48,15.03,1.41,188877.91,3.17
897058.28,15.04,1.42,188519.74,3.16
897385.87,15.04,1.42,188519.47,3.16
897607.19,15.05,1.43,188520.26,3.16
897659.12,15.05,1.43,188520.37,3.16
897980.76,15.06,1.43,188519.99,3.16
898202.08,15.06,1.44,188519.73,3.16
898065.88,15.06,1.44,188389.32,3.16
898232.47,15.06,1.44,188049.12,3.15
898096.26,15.06,1.44,188048.86,3.15
898268.07,15.07,1.45,188471.18,3.16
898320.01,15.07,1.45,188471.29,3.16
898575.06,15.08,1.46,188471.03,3.16
898630.86,15.08,1.46,188112.86,3.16
898852.18,15.09,1.46,188112.6,3.16
898852.18,15.09,1.46,187981.13,3.15
898904.12,15.09,1.47,187981.24,3.16
898767.91,15.09,1.47,187981.24,3.16
898995.98,15.09,1.47,187965.27,3.16
899224.04,15.1,1.48,187949.3,3.16
899224.04,15.1,1.48,187953.69,3.16
899434.6,15.1,1.48,187941.33,3.16
899298.4,15.1,1.48,187895.63,3.16
899877.79,15.11,1.49,188271.96,3.16
