ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
909289.83,15.27,1.68,200867.56,3.37
909189.44,15.27,1.68,201292.76,3.38
909053.53,15.27,1.68,201471.06,3.38
909213.21,15.28,1.69,201471.39,3.39
909263.66,15.28,1.69,201471.39,3.39
909263.66,15.28,1.69,201347.93,3.38
909970.87,15.29,1.7,201431.5,3.39
910130.51,15.3,1.71,201871.75,3.39
910335.9,15.3,1.71,201871.75,3.39
910200.0,15.3,1.71,201870.13,3.39
910250.45,15.31,1.72,201996.54,3.4
910430.15,15.31,1.72,201934.53,3.4
910430.15,15.31,1.72,201941.65,3.4
910626.72,15.31,1.72,202481.35,3.41
910842.38,15.32,1.73,202480.92,3.41
911022.08,15.32,1.73,202480.92,3.41
911022.08,15.32,1.73,202480.5,3.41
911201.79,15.33,1.74,202419.9,3.4
911201.79,15.33,1.74,202296.43,3.4
911387.45,15.33,1.74,202630.12,3.41
911628.02,15.34,1.75,202630.12,3.41
911678.47,15.34,1.75,202630.12,3.41
911994.89,15.35,1.75,202703.37,3.41
911882.66,15.35,1.76,202362.97,3.41
911933.11,15.35,1.76,202362.97,3.41
911983.56,15.35,1.76,202489.39,3.41
911983.56,15.35,1.76,202342.89,3.41
911983.56,15.35,1.76,202342.47,3.41
