order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
14,openb_pod_list_cpu050,04-GpuPacking,1.3,42,55,6000,1,460,<none>
15,openb_pod_list_cpu050,04-GpuPacking,1.3,42,52,4000,1,230,<none>
16,openb_pod_list_cpu050,04-GpuPacking,1.3,42,51,11910,1,1000,<none>
17,openb_pod_list_cpu050,04-GpuPacking,1.3,42,49,16000,1,1000,<none>
18,openb_pod_list_cpu050,04-GpuPacking,1.3,42,38,3150,1,590,<none>
19,openb_pod_list_cpu050,04-GpuPacking,1.3,42,37,4150,1,550,<none>
20,openb_pod_list_cpu050,04-GpuPacking,1.3,42,36,14200,1,1000,<none>
21,openb_pod_list_cpu050,04-GpuPacking,1.3,42,25,8000,1,320,<none>
22,openb_pod_list_cpu050,04-GpuPacking,1.3,42,21,24200,1,1000,<none>
23,openb_pod_list_cpu050,04-GpuPacking,1.3,42,20,11900,1,1000,<none>
