ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1582803.75,26.79,1.22,208906.64,3.54
1582803.75,26.79,1.22,208902.17,3.54
1582548.01,26.8,1.22,208902.17,3.54
1582906.11,26.8,1.23,208959.65,3.54
1582650.37,26.8,1.23,209275.32,3.54
1582839.83,26.81,1.23,209270.64,3.54
1582772.94,26.81,1.24,209359.76,3.55
1582962.39,26.82,1.24,209359.76,3.55
1582706.66,26.82,1.24,209359.76,3.55
1582904.51,26.82,1.25,209365.75,3.55
1582837.63,26.82,1.25,209365.75,3.55
1582581.89,26.82,1.25,209318.19,3.55
1582771.34,26.83,1.26,209313.51,3.55
1582515.6,26.83,1.26,209493.46,3.55
1582259.86,26.83,1.26,209531.1,3.55
1582004.12,26.83,1.26,209517.03,3.55
1581748.38,26.83,1.26,209473.26,3.55
1581748.38,26.83,1.26,209465.87,3.55
1581937.83,26.84,1.26,209463.34,3.55
