ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
557,2831,359420,6212,359420
558,2833,359890,6212,359890
559,2835,360350,6212,360350
560,2837,360820,6212,360820
561,2839,361290,6212,361290
561,2839,361400,6212,361400
561,2839,361860,6212,361860
561,2839,362670,6212,362670
562,2847,363140,6212,363140
563,2855,363140,6212,363140
564,2857,363360,6212,363360
564,2857,364170,6212,364170
565,2859,364640,6212,364640
565,2859,364990,6212,364990
566,2861,365640,6212,365640
567,2869,365870,6212,365870
568,2877,366680,6212,366680
568,2877,367150,6212,367150
569,2879,367960,6212,367960
569,2879,368420,6212,368420
570,2881,368890,6212,368890
570,2881,368890,6212,368890
571,2889,369540,6212,369540
572,2891,369760,6212,369760
572,2891,370570,6212,370570
572,2891,371040,6212,371040
572,2891,371410,6212,371410
573,2899,371730,6212,371730
573,2899,372540,6212,372540
574,2907,373130,6212,373130
575,2909,373780,6212,373780
576,2911,373780,6212,373780
577,2919,373780,6212,373780
577,2919,374590,6212,374590
578,2921,375400,6212,375400
578,2921,375870,6212,375870
578,2921,376680,6212,376680
579,2929,377000,6212,377000
580,2931,377000,6212,377000
581,2935,377810,6212,377810
581,2935,377810,6212,377810
582,2943,378460,6212,378460
583,2945,378460,6212,378460
584,2947,378930,6212,378930
585,2949,379740,6212,379740
585,2949,380390,6212,380390
586,2957,380860,6212,380860
586,2957,381090,6212,381090
586,2957,381410,6212,381410
586,2957,381730,6212,381730
587,2965,382540,6212,382540
588,2973,383350,6212,383350
589,2981,384160,6212,384160
589,2981,384630,6212,384630
590,2983,385100,6212,385100
591,2991,385910,6212,385910
592,2993,386500,6212,386500
592,2993,387310,6212,387310
593,2995,387770,6212,387770
594,2997,388090,6212,388090
