ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
902162.95,15.05,1.49,213917.83,3.57
902317.68,15.06,1.49,213917.81,3.57
902478.0,15.06,1.49,213917.6,3.57
902529.53,15.06,1.5,214389.88,3.58
902581.06,15.06,1.5,214389.88,3.58
902750.45,15.07,1.5,214300.36,3.58
902904.72,15.07,1.51,214299.76,3.58
902956.25,15.08,1.51,214418.24,3.58
903125.64,15.08,1.51,214419.68,3.58
903335.41,15.08,1.52,213981.97,3.57
903386.94,15.09,1.52,213981.6,3.57
903386.94,15.09,1.52,213991.68,3.57
903365.24,15.09,1.52,213820.39,3.57
903525.55,15.09,1.52,213820.18,3.57
903525.55,15.09,1.52,213819.79,3.57
903577.08,15.09,1.53,214006.72,3.57
903628.61,15.1,1.53,214065.77,3.58
903680.14,15.1,1.53,214065.54,3.58
903889.91,15.1,1.54,213984.61,3.58
904059.3,15.11,1.54,213984.61,3.58
904219.62,15.11,1.54,213984.4,3.58
904450.48,15.12,1.55,214072.56,3.58
904604.75,15.12,1.55,214071.97,3.58
904774.14,15.12,1.56,213902.52,3.58
904983.91,15.13,1.56,213902.52,3.58
905144.23,15.13,1.57,213902.52,3.58
905144.23,15.13,1.57,213901.92,3.58
905313.62,15.14,1.57,213732.47,3.57
905313.62,15.14,1.57,213732.47,3.57
905365.15,15.14,1.57,213732.1,3.57
905266.99,15.14,1.57,213850.89,3.58
905318.52,15.14,1.57,213613.52,3.57
905318.52,15.14,1.57,213349.03,3.57
905370.05,15.14,1.58,213467.5,3.57
905421.58,15.15,1.58,213585.98,3.57
905421.58,15.15,1.58,213585.98,3.57
905590.97,15.15,1.58,213496.46,3.57
905642.5,15.15,1.59,213496.23,3.57
905635.66,15.15,1.59,213697.25,3.58
906194.19,15.16,1.6,213795.03,3.58
906907.1,15.18,1.61,214093.8,3.58
906907.1,15.18,1.61,214093.8,3.58
907067.42,15.18,1.62,214065.04,3.58
907067.42,15.18,1.62,213892.52,3.58
907118.95,15.18,1.62,213892.13,3.58
907288.34,15.19,1.62,213893.49,3.58
907339.87,15.19,1.62,214011.96,3.58
907500.19,15.2,1.63,213983.2,3.58
907660.5,15.2,1.63,213982.99,3.58
907820.82,15.2,1.64,213982.99,3.58
907975.09,15.21,1.64,213982.99,3.58
908026.62,15.21,1.64,214101.46,3.59
908078.15,15.21,1.65,214101.24,3.59
908247.54,15.22,1.65,214011.72,3.59
908416.93,15.22,1.65,214011.12,3.59
908586.33,15.22,1.66,214010.53,3.59
908796.1,15.23,1.66,213572.82,3.58
908796.1,15.23,1.66,213572.82,3.58
908847.63,15.23,1.66,213572.59,3.58
909017.02,15.23,1.67,213572.0,3.58
909215.3,15.24,1.67,214317.25,3.59
909375.62,15.24,1.68,214317.25,3.59
909589.87,15.25,1.68,213834.86,3.58
909641.4,15.25,1.68,213488.56,3.58
909641.4,15.25,1.68,213498.64,3.58
909801.72,15.25,1.69,214130.56,3.59
