ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
331,810,713930,6212,713930
331,810,714740,6212,714740
331,810,715740,6212,715740
331,810,715740,6212,715740
332,812,716740,6212,716740
333,814,717390,6212,717390
333,814,717390,6212,717390
333,814,717620,6212,717620
333,814,718430,6212,718430
333,814,719430,6212,719430
333,814,719890,6212,719890
334,816,720890,6212,720890
334,816,720890,6212,720890
334,816,721890,6212,721890
335,818,722890,6212,722890
335,818,722890,6212,722890
335,818,723700,6212,723700
336,820,724700,6212,724700
336,820,725020,6212,725020
336,820,726020,6212,726020
337,822,727020,6212,727020
337,822,728020,6212,728020
338,824,728340,6212,728340
338,824,729340,6212,729340
339,826,730340,6212,730340
340,828,731340,6212,731340
340,828,731340,6212,731340
340,828,731340,6212,731340
341,836,731340,6212,731340
341,836,732150,6212,732150
341,836,733150,6212,733150
341,836,733150,6212,733150
342,838,734150,6212,734150
342,838,735150,6212,735150
343,840,735960,6212,735960
343,840,736430,6212,736430
343,840,737430,6212,737430
344,842,738430,6212,738430
344,842,739430,6212,739430
345,844,740430,6212,740430
345,844,741430,6212,741430
346,846,742430,6212,742430
346,846,743430,6212,743430
347,848,743890,6212,743890
347,848,744890,6212,744890
348,856,752890,6212,752890
349,858,753890,6212,753890
350,860,754890,6212,754890
350,860,755890,6212,755890
351,862,756700,6212,756700
351,862,757700,6212,757700
352,864,758700,6212,758700
352,864,759170,6212,759170
352,864,759490,6212,759490
353,866,760490,6212,760490
354,868,761490,6212,761490
355,870,762490,6212,762490
355,870,763490,6212,763490
355,870,763490,6212,763490
355,870,764300,6212,764300
355,870,765300,6212,765300
355,870,765850,6212,765850
355,870,765850,6212,765850
356,872,766440,6212,766440
356,872,767440,6212,767440
357,874,768440,6212,768440
357,874,769440,6212,769440
357,874,769600,6212,769600
358,876,770070,6212,770070
358,876,770390,6212,770390
358,876,771390,6212,771390
359,878,772390,6212,772390
359,878,773390,6212,773390
360,880,774390,6212,774390
360,880,774390,6212,774390
360,880,774980,6212,774980
361,882,775980,6212,775980
361,882,776630,6212,776630
362,884,777630,6212,777630
362,884,777630,6212,777630
362,884,778440,6212,778440
363,886,779440,6212,779440
363,886,780250,6212,780250
364,894,780250,6212,780250
365,896,781250,6212,781250
365,896,782250,6212,782250
365,896,782250,6212,782250
