ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
350,892,763490,6212,763490
351,894,764300,6212,764300
351,894,765300,6212,765300
352,896,765850,6212,765850
352,896,765850,6212,765850
352,896,766440,6212,766440
353,898,767440,6212,767440
353,898,768440,6212,768440
354,900,769440,6212,769440
354,900,769600,6212,769600
354,900,770070,6212,770070
354,900,770390,6212,770390
355,902,771390,6212,771390
355,902,772390,6212,772390
356,904,773390,6212,773390
356,904,774390,6212,774390
356,904,774390,6212,774390
357,906,774980,6212,774980
357,906,775980,6212,775980
358,908,776630,6212,776630
358,908,777630,6212,777630
358,908,777630,6212,777630
359,910,778440,6212,778440
359,910,779440,6212,779440
360,912,780250,6212,780250
360,912,780250,6212,780250
360,912,781250,6212,781250
361,914,782250,6212,782250
361,914,782250,6212,782250
361,914,783060,6212,783060
362,916,784060,6212,784060
362,916,784380,6212,784380
362,916,785190,6212,785190
363,918,786190,6212,786190
363,918,787190,6212,787190
363,918,787190,6212,787190
363,918,787190,6212,787190
364,920,788000,6212,788000
364,920,789000,6212,789000
365,922,789810,6212,789810
365,922,790810,6212,790810
366,924,791460,6212,791460
366,924,792460,6212,792460
367,926,793460,6212,793460
367,926,793460,6212,793460
