ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
896854.49,15.27,1.92,341131.0,5.81
897260.15,15.28,1.93,341154.35,5.81
897545.51,15.28,1.94,341061.16,5.81
897397.03,15.28,1.94,340949.3,5.81
897368.86,15.28,1.94,340948.01,5.81
897368.86,15.28,1.94,341066.75,5.81
897067.63,15.28,1.94,341251.36,5.81
896000.16,15.28,1.94,341033.58,5.82
896040.39,15.29,1.94,340954.43,5.82
894972.92,15.29,1.95,340746.69,5.82
895021.87,15.29,1.95,340311.02,5.81
894873.4,15.29,1.95,340197.91,5.81
894913.63,15.29,1.95,340475.77,5.82
894440.04,15.3,1.95,341046.08,5.83
894291.57,15.3,1.95,340955.18,5.83
894143.09,15.3,1.95,340928.65,5.83
894412.33,15.3,1.96,340782.29,5.83
894412.33,15.3,1.96,340700.23,5.83
893344.85,15.31,1.96,340482.45,5.83
893196.38,15.31,1.96,340439.56,5.83
893254.0,15.31,1.96,340379.08,5.83
893629.15,15.31,1.97,340234.7,5.83
893629.15,15.31,1.97,340146.77,5.83
893600.97,15.32,1.97,340181.93,5.83
894045.42,15.32,1.98,340216.62,5.83
894045.42,15.32,1.98,340134.56,5.83
893896.95,15.32,1.98,340108.02,5.83
893868.77,15.33,1.98,340094.65,5.83
893720.3,15.33,1.98,340182.24,5.83
893571.83,15.33,1.98,340047.75,5.83
893692.12,15.33,1.99,340086.07,5.83
893692.12,15.33,1.99,340002.1,5.83
893692.12,15.33,1.99,339920.05,5.83
894117.24,15.34,1.99,340026.01,5.83
894522.89,15.35,2.0,340048.25,5.83
894374.42,15.35,2.0,339960.57,5.83
894257.79,15.35,2.0,339908.24,5.83
894257.79,15.35,2.0,339810.57,5.83
893190.31,15.35,2.01,339592.8,5.84
893230.55,15.35,2.01,339672.91,5.84
893082.08,15.35,2.01,339561.05,5.84
892014.6,15.35,2.01,339343.27,5.84
