ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
399381.97,6.86,1.69,179429.43,3.08
399330.24,6.86,1.69,179429.43,3.08
399330.24,6.86,1.69,179318.81,3.08
399330.24,6.86,1.69,179450.88,3.08
399278.52,6.86,1.69,179447.63,3.08
399226.79,6.86,1.69,179447.63,3.08
399188.92,6.86,1.69,178883.14,3.07
399716.57,6.87,1.7,179245.93,3.08
399853.4,6.87,1.7,179341.04,3.08
400224.12,6.88,1.71,179341.04,3.08
400360.94,6.88,1.71,179341.04,3.08
400344.83,6.88,1.71,179292.32,3.08
400344.83,6.88,1.71,179179.22,3.08
400813.46,6.89,1.72,179095.19,3.08
400761.74,6.89,1.72,179095.19,3.08
401215.11,6.9,1.73,179095.21,3.08
401585.83,6.91,1.74,179095.21,3.08
402106.05,6.92,1.75,179534.55,3.09
402431.42,6.92,1.75,179534.55,3.09
402568.24,6.93,1.75,179534.55,3.09
402516.52,6.93,1.75,179422.31,3.09
402653.35,6.93,1.76,179422.31,3.09
403024.06,6.94,1.77,180200.36,3.1
403394.78,6.94,1.77,180329.53,3.1
403765.5,6.95,1.78,180329.53,3.1
403713.78,6.95,1.78,180329.51,3.11
403850.6,6.96,1.78,180452.13,3.11
404287.94,6.96,1.79,180452.46,3.11
404236.21,6.96,1.79,180452.46,3.11
404763.87,6.97,1.8,180913.17,3.12
404712.14,6.97,1.8,180913.17,3.12
404984.55,6.98,1.81,181190.35,3.12
405428.8,6.99,1.81,181190.46,3.12
405799.52,6.99,1.82,181190.46,3.12
405747.8,6.99,1.82,181170.15,3.12
405696.07,6.99,1.82,181170.15,3.12
406058.22,7.0,1.83,180561.56,3.11
406195.05,7.0,1.83,180561.56,3.11
406143.33,7.0,1.83,180448.46,3.11
406235.33,7.01,1.83,180156.91,3.11
406183.6,7.01,1.84,180156.91,3.11
406131.88,7.01,1.84,180156.91,3.11
406502.6,7.01,1.84,180156.91,3.11
406502.6,7.01,1.84,180156.91,3.11
406873.32,7.02,1.85,180860.53,3.12
407145.72,7.03,1.85,180860.53,3.12
407589.97,7.04,1.86,180860.53,3.12
407538.25,7.04,1.86,180860.53,3.12
407486.52,7.04,1.86,180860.53,3.12
407623.35,7.04,1.87,180860.53,3.12
407571.63,7.04,1.87,180860.53,3.12
408390.57,7.05,1.88,181124.69,3.13
408338.85,7.05,1.88,181138.55,3.13
408287.12,7.05,1.88,181028.69,3.13
408665.81,7.06,1.89,181045.81,3.13
408313.37,7.06,1.88,180994.61,3.13
408261.64,7.06,1.88,180994.61,3.13
408715.02,7.07,1.89,180994.61,3.13
